Affix	Abv.	Degree 1	Degree 2	Degree 3	Degree 4	Degree 5	Degree 6	Degree 7	Degree 8	Degree 9	Type	Description
pf	S16	interior movement along the front	inside movement at the front	movement into the front	movement along/throughout the front	movement across the front	at the front	movement out of the front	outside movement at the front	exterior movement along the front	D1	Front part of an entity relative to its directional orientation or primary external interface
ph	PCN	too sloppily/too carelessly /utterly sloppily/totally carelessly	very sloppily/very carelessly	sloppily/carelessly/with poor attention to detail	somewhat sloppily/somewhat carelessly	less than carefully/with only some degree of care	somewhat carefully/fairly precisely	precisely/carefully/detailed	extremely precisely/with great care or precision or scrutiny /meticulously	overly precisely/‘nit-picky’/with too much scrutiny/overly meticulously		
pj	TCT	feeling / texture of X	feeling / texture similar to X	feeling / texture reminiscent of X	feeling / texture with the effect of X	feeling / texture with the effect similar to X	feeling/texture whose cause is assumed to be X	feeling/texture caused by X	the feeling/texture seemingly experienced when touching/feeling X	feeling / texture experienced when touching / feeling X		
pk	S01	interior movement through 2D midst	inside movement in 2D midst	movement into 2D midst	movement throughout 2D midst	movement across 2D midst	in 2D midst	movement out of 2D midst	outside movement around 2D midst	exterior movement along 2D midst	D1	Position between/amidst/among [in a quasi-planar context]
pl	M11	interior perlative arc movement	interior arc movement	entering arc movement	continuous course arc movement	arc movement across	onward arc movement	exiting arc movement	exterior arc movement	exterior perlative arc movement	D1	Motion on parabolic/arc trajectory relative to gravity 
pļ	EFP	in / due to excruciating pain	in / due to severe pain	painful	somewhat painful	in neither pain nor pleasure	pleasantly	in pleasure	in great pleasure	in ecstasy		
pn	MZE	of/from/during the Mesozoic Era	of/from/during the Early (or Lower) Triassic epoch	of/from/during the Middle Triassic epoch	of/from/during the Late (or Upper) epoch	of/from/during the Early (or Lower) Jurassic epoch	of/from/during the Middle Jurassic epoch	of/from/during the Late (or Upper) Jurassic epoch	of/from/during the Early (or Lower) Cretaceous epoch	of/from/during the Late (or Upper) Cretaceous epoch		
pr	M02	interior perlative ascent₁/descent₂	interior ascent₁/descent₂	entering ascent₁/descent₂	continuous course ascent₁/descent₂	ascent₁/descent₂ across	onward ascent₁/descent₂	exiting ascent₁/descent₂	exterior ascent₁/descent₂	exterior perlative ascent₁/descent₂	D1	Vertical quasi-linear translative motion
př	ACS	path, course, passageway or way leading into or culminating in X	entryway, doorway, opening, gateway, portal into X	controlled/regulated entryway into X, valve-like entry way into X	informal, makeshift passage-way into X; something used as an entry point into X	threshold of X, area/space where one assembles/waits/prepares to enter X	informal, makeshift 2-way passage-way into or out of X; something used as an access point of passage way into or out of X	controlled 2-way access point into and out of X, valve-like access point into/out of X	2-way entry/exit point, gateway, portal point of ingress/egress into and out of X	2-way path, course, passageway or way leading into or out of X		
ps	XOR	“xor” (with topic in common as well as main verb if a subsequent main verb is missing): Sam either visited Clara or (subsequently visited) Jane every Sunday, but not both; Sam visited Clara or Sam (subsequently) danced with Jane every Sunday (but not both).	“xor” (with all morphology in common with first member of series other than as non-default marked or differently-marked than first member)	“xor” (where verb participants are in common, but case relationships are not and must be inferred) He either saw, entered, or conquered the city (but only did one of these).	“xor” (with no assumed commonality of morphology between referents) Sam either attended college or Jeff broke his wrist (but only one or the other occurred).	but (on the contrary, X)	but (rather) (substituting X); “X, instead”	or X, else X (“otherwise, X”, “if not that, then X”)	or X (and interchangeable with)	…or something (else),…or whatever (else		
pš	XX4	4th in physical arrangement	4th in agreed-upon order	4th in hierarchical order	4th	w/4 instances	w/4 or more instances	w/4 parts/sections	w/4 nodes/connections/points	w/4 hierarchical levels/tiers	0	Four
pt	DNG	completely safe, utterly no danger at all	very safe, almost no threat of danger or risk	safe	most likely on the safe side, likely to not be dangerous, of little danger	uncertain as to degree of danger	somewhat dangerous, somewhat risky	dangerous, risky	very dangerous, high risk of injury or fatality, mortally dangerous	lethal, fatal		
pţ	EXD	less and less/fewer and fewer/ongoing decrease in, decreasingly	a lot fewer/a lot less (of), a lot less	fewer/less (of), less	a little less (of)/a bit less (of), a little less/a bit less	a fluctuating amount or degree of, to a fluctuating degree or extent	a little more (of)/a bit more (of), a little more/a bit more	more (of), more	a lot more (of), a lot more	more and more/continuing increase in/increasingly more/ever-increasing		
pw	P10	interior movement through ahead+below	movement inside ahead+below	movement into ahead+below	movement along ahead+below	movement across ahead+below	ahead+below	movement out of ahead+below	movement outside ahead+below	exterior movement alongside ahead+below	D1	Position at 0 / +Y / -Z
py	P09	interior movement through ahead+above	movement inside ahead+above	movement into ahead+above	movement along ahead+above	movement across ahead+above	ahead+above	movement out of ahead+above	movement outside ahead+above	exterior movement alongside ahead+above	D1	Position at 0 / +Y / +Z
r	NEG	emphatic relative negation contrary to affirmation	emphatic relative negation	relative negation contrary to expectation	relative negation	neither the preceding nor X	absolute negation	absolute negation contrary to expectation	emphatic absolute negation	emphatic absolute negation contrary to affirmation	D1	Negation and Negative Coordinatives/Connectives
ř	IOR	…and/or (quasi-sequentially, with topic in common [as well as main verb if a subsequent main verb is missing]):  Sam either visited Clara or ([subsequently] visited) Jane every Sunday or both; Sam visited Clara or [Sam (subsequently)] danced with Jane every Sunday or both.	…and/or (quasi-sequentially, with all morphology in common with first member of series other than as non-default marked or differently-marked than first member)	…and/or (quasi-sequentially where verb participants are in common, but case relationships are not and must be inferred) He either saw, entered, or conquered the city or all three.	…and/or (quasi-sequentially, with no assumed commonality of morphology between referents) Sam either attended college or Jeff broke his wrist or both.	…and/or	…and/or (simultaneously/concurrently, with no assumed commonality of morphology between referents) Sam either attended college or Jeff broke his wrist or both.	…and/or (simultaneously/concurrently where verb participants are in common, but case relationships are not and must be inferred) He either saw, entered, or conquered the city or all three.	…and/or (simultaneously/concurrently, with all morphology in common with first member of series other than as non-default marked or differently-marked than first member)	…and/or (simultaneously, with topic in common [as well as main verb if a subsequent main verb is missing]):  Sam either visited Clara or ([simultaneously] visited) Jane every Sunday or both; Sam visited Clara or [Sam (simultaneously)] danced with Jane every Sunday or both.	C	Inclusive “OR”
rb	TPI	immediate/at this instant	temporary/for right now [duration of context]	short term/for now [hours to days]	for the meantime [days to months]	for a while [months to years]	for the foreseeable future [years to decades]	long term/in the long run [over a lifetime, decades to centuries]	through the ages [centuries to millennia]	ever-present/eternal/constant/incessant/neverending [from now on/eternally/everlasting/all the time/for all time]		
řb	ATN	ignore completely	barely notice, take little notice of	take some notice of	keep an eye on	pay attention to, attend to, be careful that you…, heed	determined to	pay strict attention to	concentrate to point of distraction, to be ‘lost’ in X-ing	concentrate fully upon, pay utmost attention to		
rc	ELA	number of nanoseconds	number of microseconds	number of milliseconds	number of seconds	number of minutes	number of hours	number of days	number of months	number of years		
rč	STY	archaic	medieval	classic(al)	old-fashioned, in the old-fashioned way	“yesteryear”, in the era just passed, in the previous zeitgeist	modern, contemporary (in style)	avant-garde	futuristic	post-		
rç	PEB	dominant component/feature/element/life-form/factor	near-dominant	near-dominant	thriving	up-and-coming, close to thriving	newfound/newly arrived/newly present	declining	threatened	near-extinct		
řc	AMD	just after midnight	during the middle of the night/madrugada	just before daybreak/dawn	around dawn/daybreak	at sunrise	in the early morning	in the morning	during the late morning	around midday/noon		
řč	OPF	disintegrated, in pieces, shattered	irreparably damaged/broken, ruined, worn out	badly damaged/broken, non-operational, non-functional (with possibility of being repaired)	damaged/broken -- only partially functional (i.e., some parts/aspects are functional while others are not)	something wrong with X, not functioning properly, something not right with X wearing out	impaired -- functional but not performing to full extent of output or efficiency	in fair working order/condition	in good working order/condition	in optimum working order/in excellent condition		
řç	BCD	B (ti)	~B (~ti)	C𝄳/B𝄲	C (do)	~C (~do)	C𝄲	C♯/D♭ (di/ra)	~C♯/D♭ (~di/ra)	D𝄳	A1	Musical Notes BCD
rd	REA	imaginary/unreal/made-up ; imagine X-ing, not really X-ing [contrary to suggestion otherwise]	imaginary/unreal/made-up ; imagine X-ing, not really X-ing	fake/pretend/mock; pretend to, fake X-ing	substitute/replacement/proxy/fill-in/placeholder; as a substitute or proxy for	ersatz/facsimile, as an equivalent to	suspicious-looking/”fishy” seeming; presumably /allegedly/gives the appearance of having	apparent/seeming/looks like a; apparently/appears to have/seems to have	real/actual/true/genuine; truly, genuinely, really, actually, indeed	real/actual/true/genuine; truly, genuinely, really, actually, indeed[affirmation contrary to suggestion otherwise]		
rḑ	TD2	between one and two days	for two days	for three or four days	up to a week	for several weeks	for about a month	for about half a year	for the better part of a year	for a year		
řd	SQC	originally/in the first place	preliminar(il)y	preparatory/getting ready to	precursor to; but just beforehand	awaited; waiting to [imminency/sequential position, NOT anticipation]	subsequent/consequent	based on the preceding/setting the stage for the following	following/then subsequent to that	eventual/finally (result)		
řḑ	EXT	unlike	not quite	nearly	for all intents and purposes	as such	comparable to	just like that	exact copy/substitute for	exact(ly)		
rf	PTW	no amount of/none (of)	a very few/a tiny amount of/a tiny number of, only a tiny bit/a tiny bit	few/a little/a bit, a little/a bit	some, any [= some of]/some of or any of the/a portion; partially/to some extent	a fair number of/a fair amount of/pretty…/fairly…/rather/somewhat;more or less/to a fair extent	much/many/(such) a lot of/very/quite (a); quite; a lot/very much/to a large extent	a whole lot of/a very large amount or number of/immensely, in an incredible amount/so much…; so	most of/mostly	every/all (of)/whole, entirely/in its entirety		
řf	UST	measurable in yoctoseconds (10⁻²⁴ s)	measurable in zeptoseconds (10⁻²¹ s)	measurable in attoseconds (10⁻¹⁸ s)	measurable in femtoseconds (10⁻¹⁵ s)	measurable in picoseconds (10⁻¹² s)	measurable in nanoseconds (10⁻⁹ s)	measurable in microseconds (10⁻⁶ s)	measurable in milliseconds (10⁻³ s)	measurable in seconds		
řfs	USM	(in) yoctoseconds (100⁻¹²s)	(in) zeptoseconds (10×100⁻¹¹s)	(in) attoseconds (100⁻⁹s)	(in) femtoseconds (10×100⁻⁸s)	(in) picoseconds (100⁻⁶s)	(in) nanoseconds (10×100⁻⁵s)	(in) microseconds (100⁻³s)	(in) milliseconds (10×100⁻²s)	(in) seconds/Hertz		
rft	CNT	beyond the edge of	circumscribing	peripheral	peripheral and extending into the interior	throughout	here and there throughout	in the midst of	generally central	perfectly central		
rg	MVT	unmovable – integrated	unmovable due to mass	not easily moved	inclined to stillness	holding still	moving around slightly, stirring	moving around in one place	moving around, agitated	highly agitated, unable to keep still"		
řg	TYP	unique/never-before-seen/one of a kind/shocking	original/avante-garde, surprising(ly)/innovative(ly)	atypical(ly)/unusual(ly)	somewhat atypical(ly) or unusual(ly)	garden variety/run-of-the-mill/typical(ly)	expected/common, in a commonplace manner	disappointingly typical, very typically	unoriginal/mundane, in an uninspired way	stereotyped/stereotypical(ly)		
rh	RLV	utterly irrelevant, of no relevance whatsoever in any context	of no relevance to the current context and of little if any relevance to other contexts	irrelevant(ly), inapplicable	perhaps relevant to other situations or contexts but not to the one at-hand	hardly relevant, barely relevant, not very relevant	somewhat relevant(ly)/somewhat applicable to the context at-hand	relevant(ly)/applicable to the context at-hand	very relevant(ly)/highly relevant	as relevant(ly) as can be"		
řh	TRS	utterly untrustworthy/unreliable	flaky/unreliable/can’t be counted upon to be/act in a reliable manner	skeptical of X/hard to believe in X’s trustworthiness/reliability	skeptical of X but willing to trust in X despite skepticism due to other factors/considerations	trusted based on hope, faith, intuition, or gut feeling	naively trusted, deemed trustworthy/reliable based on one’s gullibility/credulity/naivete	provisionally reliable or trustworthy [subject to verification]	cautiously trustworthy/reliable due to experience or record despite possibility of untrustworthiness	completely trustworthy/reliable		
rj	DLB	accidental(ly)/inadvertent(ly) and unaware of consequences	unintended/unintentional(ly)/without meaning to and unaware of consequences	accidental(ly)/inadvertent(ly) but now aware of consequences	unintended/unintentional(ly)/without meaning to but now aware of consequences	unforeseeable/unpredictable, unforeseeably/unpredictably	without realizing or considering potential consequences	thinking one can get away without reaping consequences/furtive(ly)	realizing potential risks or consequences/cognizant of potential risks or consequences	intentional(ly)/deliberate(ly)/on purpose/by choice; choose to		
řj	PMD	just after midday	in the mid afternoon	in the afternoon	in the later afternoon	at sunset	at dusk/during twilight	during the early evening	during the evening	in the late evening/around midnight		
řk	DGR	unknowable degree or amount of	almost impossible to determine degree of	unknown degree or amount of	nowhere near the desired degree of	difficult to pinpoint/determine the degree or amount of	fluctuating, ever-changing (amount of); to changing/fluctuating degree or extent of	vaguely around/vaguely in the range of/somewhere around /loosely in the vicinity of	approximate(ly)/somewhere around/just about; or something like that/…or so	exact/specific, exactly/specifically/on the dot/sharp/to the letter		
rks	CPP	very easily/readily done	fairly/rather easily/readily done	not too difficult to be done, somewhat easily done	somewhat difficult to be done, not too easily done	difficult to be done	rather/quite difficult to be done	extremely difficult to be done	almost impossible to be done	impossible to be done		
řks	CRD	tightly packed together (“like sardines”)/with no space between components/with no room to move	packed together touching	packed together with minimal space between components/with barely enough room to move without touching others	crowded but with sufficient space to move around/loosely packed	somewhat crowded	not too crowded/lightly crowded/sufficient room to move around easily between components	uncrowded/somewhat sparse	sparse/spare/uncrowded/light	utterly sparse, spare, lone, (nearly) alone		
rkt	MLT	served/eaten as breakfast	served/eaten as brunch	served /eaten as mid-day meal (i.e., lunch, or dinner if main meal of the day)	served/eaten as lunchtime dessert	served/eaten as afternoon snack	served/eaten as tea or at teatime (i.e., late afternoon)	served/eaten as dinner/supper (i.e., evening meal)	served/eaten as dessert at/after/before dinner/supper	served/eaten as bedtime or midnight snack		
rkw	CYC	occuring every second	occuring every minute	occuring every hour; hourly	occuring every day; daily	occuring every week; weekly	occuring every month; monthly	occuring every year; annually	occuring every decade	occuring every century		Cyclic Recurrence
rky	CYL	occuring every millennium	occuring every 10 thousand years	occuring every 100 thousand years	occuring every million years	occuring every 10 million years	occuring every 100 million years	occuring every 500 million years	occuring every billion years	during the lifespan of the universe		Cyclic Recurrence (Long-Term)
rl	FGA	F (fa)	~F (~fa)	F𝄲	F♯/G♭ (fi/se)	~F♯/G♭ (~fi/se)	G𝄳	G (so)	~G (~so)	G𝄲	A1	Musical Notes FGA
rļ	FAM	unknowable/alien	totally unfamiliar	unfamiliar	somewhat unfamiliar	just becoming familiar/getting used to	somewhat familiar	known/accustomed to	well-known/ingrained	intimately involved with		
řl	VMC	(in) minims	(in) fluid drams	(in) teaspoons	(in) tablespoons	(in) milliliters	(in) liters	(in) fluid ounces	(in) gallons	(in) barrels		
řļ	DEF	D (re)	~D (~re)	D𝄲	E♭/D♯ (me/ri)	~E♭/D♯ (~me/ri)	E𝄳	E (mi)	~E (~mi)	E𝄲/F𝄳	A1	Musical Notes DEF
rm	ITN	just once	again/once more	again and again [focus on habit]	again and again [focus on periodicity]	irregular/unpredictable	[cyclic] return of X, X once again	intermittent	repetitive/repeating	constantly cycling/repeating		
řm	GAB	A♭/G♯ (le/si)	~A♭/G♯ (~le/si)	A𝄳	A (la)	~A (~la)	A𝄲	B♭/A♯ (te/li)	~B♭/A♯ (~te/li)	B𝄳	A1	Musical Notes GAB
rmz	MEM	always in mind/can’t forget	never to be forgotten/memorable	remembered/recalled/remember to…	(having just been) reminded of X	on the tip of one’s tongue/almost remembered/on the verge of remembering	slipped from one’s mind (momentarily); just had it but now can’t remember; momentary lapse in remembering X	forgotten, not remembered or recalled [despite attempt to remember/recall]/forget/forget (how) to…	forgotten, not remembered or recalled [does not occur to try to remember]	long-forgotten/not currently remembered in general		
rn	LTD	for more than a year	for two to four years	for about five years	for most of a decade	for approx a decade	for a generation (approx 20 to 25 years)	for about half a century	for a lifetime (approx 75 to 90 years)	for about a century		
rň	EPC	for several hundred thousand years	for the better part of an age (up to a million years)	for an age (approx a million years)	for an epoch (approx 10 million years)	for an era (approx 100 million years)	for an eon (approx 500 million years)	for about a billion years	for several billion years	for the lifespan of the universe		
řn	PTY	very dissimilar to prototype, very atypical member, closer to members of different set	dissimilar to prototype, atypical member	having noticeable dissimilarities from prototype	somewhat dissimilar to prototype	having unknown degree of closeness or similarity to prototype	adequately similar to prototype	as close to prototype as is typically found	as close to prototype as possible	prototype/archetype/model		
řň	IMP	target can do nothing - utterly inevitable	target chooses to do nothing - resigned to fate	target tries to prevent/avoid but fails	target tries to prevent/avoid and does so partially or mitigates impact somewhat	target tries to prevent/avoid and succeeds	target helps/enables outcome inadvertently	target helps/enables outcome against own interest (i.e., without thinking)	target helps/enables outcome intentionally despite negative consequences	target helps/enables outcome intentionally for own benefit		
rns	TPM	(in) minutes	(in) hours	(in) days	(in) weeks	(in) months	(in) years	(in) decades	in (human) generations	in (human) lifetimes		
rňs	LTM	(in) centuries	(in) millenia	(in) 100²-year periods	(in) 100,000-year periods	(in) ages (million years)	(in) epochs (10 million years)	(in) eras (100 million years	(in) eons (500 million years)	(in) thousand-million-year periods		
řns	ENG	avoiding at all costs, run away from	averse to, fear doing	shirk involvement in, not be/get involved in	doing for appearance' sake only, solely for show	lackluster interest/involvement in	marginal interest/involvement in	limited/partial involvement in	fully involved/engrossed in	irreversibly involved/engrossed in		
rp	FRQ	never	rare/hardly ever	infrequent/seldom	every now and then/sometimes	frequent/often	usual(ly)	almost always	unwavering/without fail	constant/continuous/all the time		
řp	UNQ	vulgar, trashy, too cheap/in a vulgar or trashy manner	cheap, tasteless, gaudy, gauche/in a cheap, gaudy, tasteless manner	run of the mill/unexceptional/average/commonplace/ordinary; ina commonplace or unexceptional manner	somewhat ordinary/somewhat common(place)	somewhat special/somewhat out of the ordinary/interesting(ly) /intriguing(ly)/eye-catching/appealing(ly)/stands out from the crowd	special, especially	extraordinary/highly unusual, extraordinarily	(one and) only/unique, in the only way/uniquely/unparallelled	marvelous/wonderful/wondrous/awesome/awe-inspiring		
rps	APV	and not even occurring to one to evaluate/consider/analyze a/the situation in any way before deciding/acting	and not even occurring to one to evaluate/consider (a) point(s) of view other than one’s own	with alternate point(s) of view blindly dismissed as irrelevant or having no value before even being considered	with consideration given to alternate point(s) of view but dismissed because one’s own point of view is intransigent/non-negotiable	with potential seen in other point(s) of view leading to possible tolerance of each other’s viewpoint (i.e., “live and let live” solution)	with potential seen in other point(s) of view as basis for compromise solution (i.e., where each party makes concessions)	with potential seen in other point(s) of view as basis for win-win outcome (i.e., where both solutions together are mutually advantageous)	with potential seen in other point(s) of view as basis for conceding one’s own point of view partially in favor of alternate point(s) of view	with potential seen in other point(s) of view as basis for conceding one’s own point of view entirely in favor of alternate point(s) of view		
rs	TNX	+10	+20	+30	+40	+50	+60	+70	+80	+90		
rš	STG	onset/initiation/birth	development/build-up	point of no return/imminent transition	plateau stage/pause before next stage	peak/prime/mature stage	abrupt or premature termination	gradual decline	end stage/final state	cessation/finished/over		
řs	CNS	deliberately against the expressed wishes/will of the affected party	without the affected party’s knowledge and against their implied/presumed wishes/will	without the consent or knowledge of the affected party [their expressed or implied wishes/will being unknown or undetermined]	with the affected party’s knowledge but without their consent	with the affected party’s consent obtained under pressure, threat, coercion	with the affected party’s reluctant consent	with the affected party’s full consent, willingly	with the affected party’s enthusiastic approval and support	by request of the affected party		
řš	XPT	shockingly unexpected, without precedent or rumour	surprise X/unexpected X, completely by surprise/ completely unexpected(ly)	manage to X despite inadequacy of preparation or effort; harder than thought to be due to poor planning and/or execution	manage to X despite underestimating hindrances or obstacles; harder than initially thought to be	managed to X despite hindrance(s) or obstacles, hard-won	manage to X due to hindrances or obstacles being overestimated; easier than thought to be	manage to X due to excellent preparation/planning/execution	completely as expected/totally as anticipated/as predicted	pat, outcome pre-ordained or predetermined		
rsk	FSP	just-made	fresh-made	fresh	not fresh but edible	on the verge of going rancid	spoiling	rancid	rotten	rotted away		
ršk	ESO	almost/nearly	hardly/barely	just past threshold	merely/only/just	partially	some kind of/halfway	it seems likely that..	it certainly appears that...	it is confirmed that...		
řsk	CVL	hunter-gatherer status with little ability to forestall adversities such as hunger, disease, or invasion/war	agricultural/agrarian society with limited ability to forestall adversities such as famine, disease, or invasion/war	transitional society between agrarian and socio-economically complex society, with wide variance in individual socio-economic status, stability, or individual impact of hunger, disease, opportunities, etc.	socially and economically complex society with sufficient technology to limit the impact of famine, disease, or hardship but unstable due to the continuous impact of politics, war, greed, crime, etc.	socially and economically complex society with high level of technology and basic human needs met, but still driven by individual agenda and competition	having achieved a stable and high state of civilization via technology and emotional/psychological maturity/stability and long-term foresight with dual focus on collective security and individual purpose/discovery/potential	having surmounted the confines/limits of brief lifespan and individual consciousness	universal; having reached the point of existing beyond the confines/limits of such things as corporeality, time, space — having achieved a universal consciousness	transcendent; having reached the point of existing beyond the confines/limits of time, space, corporeality, or direct concerns with the material universe		
rst	ITG	complete, whole, full	functionally complete, whole, full	nearly complete, nearly whole, nearly full	somewhat incomplete, somewhat partial	partial, members/parts/segments missing	fairly incomplete, mostly incomplete	incomplete, lacking	decimated	disorganized, unorganized, unsystematic		
řst	LCM	designing, drafting a blueprint of	constructing/forming/crafting/making	determining placement/location of within/among/in association with its surrounding infrastructure	installation/connection/set-up of	operational test of	servicing/maintenance of	repair of	removal/retirement/discarding of	replacement of		
rt	SUF	not at all	way too little	too little	not quite enough	enough/sufficient(ly)	a little too much	too much	way too much	to the exclusion of all else		
rţ	PTT	no amount of/none (of)	a very few/a tiny amount of/a tiny number of, only a tiny bit/a tiny bit	few/a little/a bit, a little/a bit	some, any [= some of]/some of or any of the/a portion; partially/to some extent	a fair number of/a fair amount of/pretty (+adj.)/fairly (+adj.)/rather /somewhat; more or less/to a fair extent	much/many/(such) a lot of/very/quite (a); quite /; a lot/very much/to a large extent	a whole lot of/a very large amount or number of/immensely, in an incredible amount/so much…; so	most of/mostly	every/all (of)/whole, entirely/in its entirety		
řt	INL	none	hardly any	few certain	certain	several	various	most of them	almost every	each		
řţ	LGD	for more than a century	for about two centuries	for about half a millennium	for the better part of a millennium	for a millennium or so	for several millennia	for about ten thousand years	for about 50 thousand years	for about 100 thousand years		
rtk	ARM	(in) barns	(in) squares	(in) acres	(in) roods	(in) hectares	(in) sq. perches/sq. rods/poles	(in) tetrads	(in) townships	(in) myriads		
rtl	AMC	deca-	di-	tri-	tetra-	penta-	hexa-	hepta-	octa-	nona-		
rtm	LDB	(in) inches	(in) feet	(in) yards	(in) fathoms	(in) rods	(in) furlongs	(in) miles	(in) nautical miles	(in) leagues		
rtn	LDA	(in) Planck lengths	(in) angstroms	(in) microns	(in) millimeters	(in) meters	(in) kilometers	(in) astronomical units	(in) light-years	(in) parsecs		
rţw	ITE	X times per second	X times per minute	X times per hour	X times daily	X times weekly	X times monthly	X times yearly	X times per decade	X times per century		
rţy	ILT	X times per millenium	X times per 10000 year period	X times per 10⁵ year period	X times per age (10⁶ years)	X times per epoch (10⁷ years)	X times per era (10⁸ years)	Eight	X times per billion (10⁹) year period	X times per universe-lifespan		
rv	TD1	momentary [no more than a few seconds]	brief [10 seconds to less than a minute]	for a "minute" or so	for a few minutes	for a little while [approx 10 to 30 minutes]	for a while [up to an hour]	for a bit of a while [one to several hours]	for quite a while [several hours to most of the day]	all day long [about 24 hours]		
řv	CNQ	inconsequential/sham/having no effect, like it didn’t even happen/with no effect	relatively inconsequential/having little effect/easily reversible or undone/to little effect/minor/to minor degree	somewhat inconsequential/having some effect/reparable/reversible/to some effect/somewhat minor	not so minor/somewhat significant degree/reversible with effort/having a somewhat significant impact or effect	consequential/having a fair effect/reversible only with concerted effort/to good effect	overall/significant degree of, all in all/for the most part/on the whole	virtually total/near total, nearly for good/almost completely	utter/complete/total; altogether/completely/for good/utterly/irrevocably/for all intents and purposes	for all time/forever/finally		
rw	SPT	seconds	minutes	hours	weekday [1=Mon]	day	week of month	month	year	century		
řw	VMA	(in) cubic Planck lengths	(in) cubic angstroms	(in) cubic microns	(in) cubic millimeters	(in) cubic meters	(in) cubic kilometers	(in) cubic astronomical units	(in) cubic light-years	(in) cubic parsecs		
rx	SIM	opposite	completely different	pretty different	different/other	somewhat different	similar	pretty similar	very similar	same/indistinguishable		
ry	SPT	seconds	minutes	hours	weekday [1=Mon]	day	week of month	month	year	century		
řy	VMB	(in) cubic inches	(in) cubic feet	(in) cubic yards	(in) cubic fathoms	(in) cubic rods	(in) cubic furlongs	(in) cubic miles	(in) cubic nautical miles	(in) cubic leagues		
rz	CHC	party made/induced by another party/force/situation to initiate an state/act/event - can do nothing to stop it, initiation is inevitable	party made/induced by another party/force/situation to initiate an state/act/event - chooses to acquiesce due to being okay with, or indifferent as to outcome	party made/induced by another party/force/situation to initiate an state/act/event - tries to prevent/avoid but fails	party made/induced by another party/force/situation to initiate an state/act/event - tries to avoid and partially succeeds/mitigates impact	party made/induced by another party/force/situation to initiate an state/act/event - tries to prevent/avoid and succeeds	party made/induced by another party/force/situation to initiate an state/act/event - inadvertently helps/enables outcome	party made/induced by another party/force/situation to initiate an state/act/event - acquiesces/helps/enables outcome against own interest w/o thinking	party made/induced by another party/force/situation to initiate an state/act/event - intentionally acquiesces/helps/enables outcome consciously against own interest	party made/induced by another party/force/situation to initiate an state/act/event - intentionally acquiesces/helps/enables outcome for own benefit		
rž	HRC	bottom rung/the “dregs”	rank & file	lower echelon	lower-mid	mid-level	upper mid	upper echelon	senior	head/chief/top/executive		
rẓ	PRB	impossible/hopeless/lost cause	almost no chance of/virtually impossible	highly unlikely	unlikely/improbable(ly)	possible, possibly	probable, probably	highly probable/very likely	almost surely/certain to be a…/certain to	forgone conclusion that/in the can/done deal		
řz	MOT	affected, ostentatious; affectedly/ostentatiously	self-conscious(ly)	guilty/guiltily	less-than-willingly, doing so out of sense of duty/honor/shame only	against better judgement/can’t help but/can’t help it	ingrained, by upbringing	learned/habitual, by habit/trained to	natural(ly)/un-self-conscious(ly)	autonomic/unaware, automatic		
řž	LVL	(MIN) Minimal	(SBE) Subequative	(IFR) Inferior	(DFC) Deficient	(EQU) Equative	(SUR) Surpassive	(SPL) Superlative	(SPQ) Superequative	(MAX) Maximal		
řẓ	SVS	on an atomic/quantum-sized scale 	on a microscopic/miniature scale	on a scale allowing manual manipulation	on a scale somewhat beyond manual manipulation	on a scale requiring heavy machinery or industrial-level technology	on an enormous scale	on a quasi-global scale	on an interplanetary to interstellar scale	on a quasi-universal scale		
s	CMF	via language in general	via spoken language	via written language	via publication, in writing	via electronic distribution	via gesture, pantomime	via sign language	via pictures/images	via non-linguistic vocalizations	0	Communication Format
š	SEX	female (♀)	atypical of female sex	male (♂)	atypical of male sex	intersex (☿)	of unknown/indiscernable sex	unisex	distinguished by sex	sex-neutral	0*	Biological (i.e., genetically-determined) Sex
sb	MMV	via/along/across the surface of water or liquid	via/through water/liquid below the surface/through a volume of water/liquid	via/through the air following the ground at (relatively) low height	via/through the air at a sufficient height to clear all ground objects/topography	via/along an indicated/marked pathway/course	via/along/through a channel/conduit/tunnel/tube	along/across the ground/surface (no particular marked or indicated pathway)	via/through the easiest or most convenient course between obstacles/impediments	moving blindly with little or no visibility or other means to discern a course nor any obstacles/impediments		
šb	GEO	inhabiting or associated with high mountains	inhabiting or associated with the desert	inhabiting or associated with rocky terrain	inhabiting or associated with the tundra	inhabiting or associated with brushland, scrubland, bushy terrain	inhabiting or associated with swampy/boggy/marshy terrain	inhabiting or associated with savannah/grassland	inhabiting or associated with trees/arboreal	inhabiting or associated with the rainforest		
sc	EPS	powered by fossil fuel	hydraulic-powered	steam-driven	solar-powered	electric	powered by stored energy (battery, flywheel)	nuclear-powered	hydrogen-powered	powered by quantum vacuum energy		
sč	MTA	for evil or perverse reasons	in fear	in anger	in irritation	in repugnance/revulsion	due to or based on faulty perception or misinterpretation of information or evidence	due to faulty information provided by another [no deception intended]	due to deception by another	despite negative circumstances or reasons not to		
šč	AMS	X as powder or dust-like substance	X as fine gravel or sand-like substance	X as loose gravel or coarse sand-like substance	X as bead-like substance	X as flaky, scaly substance or shavings	X as rubber(y) or elastic substance	X as soft/flexible quasi-2D substance like cloth or fabric	X as soft/flexible 3D substance like cotton	X as sponge-like (3D resilient, depressable substance)		
